time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
44992,27,-5364,145,0,1,1,0,0,0,0,0
45002,36,-5382,122,0,1,1,0,0,0,0,0
45012,25,-5413,155,0,1,1,0,0,0,0,0
45022,3,-5364,164,0,1,1,0,0,0,0,0
45032,16,-5381,136,0,1,1,0,0,0,0,0
45042,23,-5392,165,0,1,1,0,0,0,0,0
45052,19,-5384,124,0,1,1,0,0,0,0,0
45062,24,-5352,155,0,1,1,0,0,0,0,0
45072,27,-5397,120,0,1,1,0,0,0,0,0
45082,24,-5396,136,0,1,1,0,0,0,0,0
45092,27,-5382,141,0,1,1,0,0,0,0,0
45102,20,-5402,130,0,1,1,0,0,0,0,0
45112,26,-5387,156,0,1,1,0,0,0,0,0
45122,9,-5380,132,0,1,1,0,0,0,0,0
45132,3,-5381,149,0,1,1,0,0,0,0,0
45142,13,-5395,155,0,1,1,0,0,0,0,0
45152,11,-5390,134,0,1,1,0,0,0,0,0
45162,15,-5370,161,0,1,1,0,0,0,0,0
45172,5,-5381,119,0,1,1,0,0,0,0,0
45182,11,-5371,127,0,1,1,0,0,0,0,0
45192,21,-5369,141,0,1,1,0,0,0,0,0
45202,26,-5400,130,0,1,1,0,0,0,0,0
45212,24,-5392,152,0,1,1,0,0,0,0,0
45222,21,-5355,131,0,1,1,0,0,0,0,0
45232,26,-5365,142,0,1,1,0,0,0,0,0
45242,20,-5399,147,0,1,1,0,0,0,0,0
45252,14,-5360,153,0,1,1,0,0,0,0,0
45262,38,-5399,171,0,1,1,0,0,0,0,0
45272,27,-5394,164,0,1,1,0,0,0,0,0
45282,19,-5333,154,0,1,1,0,0,0,0,0
45292,31,-5404,138,0,1,1,0,0,0,0,0
45302,27,-5392,149,0,1,1,0,0,0,0,0
45313,32,-5357,118,0,1,1,0,0,0,0,0
45323,20,-5381,129,0,1,1,1,0,0,0,0
45333,17,-5397,127,0,1,1,0,0,0,0,0
45343,4,-5370,128,0,1,1,0,0,0,0,0
45353,16,-5360,140,0,1,1,0,0,0,0,0
